,orig,dest,distance,duration
338,Albertslund,Kerteminde,145629.3,5881.2
339,Albertslund,Kolding,236155.9,9414.1
340,Albertslund,København,11642.1,1050.7
341,Albertslund,Køge,29509.9,1460.6
342,Albertslund,Langeland,184020.3,8266.1
343,Albertslund,Lejre,42932.9,2217.4
344,Albertslund,Lemvig,390092.7,16059.8
345,Albertslund,Lolland,137899,5624.3
346,Albertslund,Lyngby-Taarbæk,23002.6,1318.3
347,Albertslund,Læsø,482538.1,18829.3
348,Albertslund,Mariagerfjord,323228.7,12852.9
349,Albertslund,Middelfart,180736.7,7284.7
350,Albertslund,Morsø,381372.8,16098.5
351,Albertslund,Norddjurs,337816.4,13270.8
352,Albertslund,Nordfyn,193412.2,8126.5
353,Albertslund,Nyborg,133489.7,5644.4
354,Albertslund,Næstved,80155.4,3375.6
355,Albertslund,Odder,292149.4,11787.2
356,Albertslund,Odense,145629.3,5881.2
357,Albertslund,Odsherred,70406.2,3356.2
358,Albertslund,Randers,340963,13577.6
359,Albertslund,Rebild,354991.7,14449.8
360,Albertslund,Ringkøbing-Skjern,330760.9,13360.3
361,Albertslund,Ringsted,49866.6,2493.4
362,Albertslund,Roskilde,34894,2027.6
363,Albertslund,Rudersdal,30144.1,1505.3
364,Albertslund,Rødovre,5192.5,446.7
365,Albertslund,Samsø,311612.2,15891.3
366,Albertslund,Silkeborg,307356.9,12744.5
367,Albertslund,Skanderborg,294660.2,11428.1
368,Albertslund,Skive,367234.4,14751.9
369,Albertslund,Slagelse,102425.4,4408.7
370,Albertslund,Solrød,23683.3,1233.5
371,Albertslund,Sorø,79759.1,3589.2
372,Albertslund,Stevns,44917.6,2053.1
373,Albertslund,Struer,331592.2,13036.2
374,Albertslund,Svendborg,145113.2,6364.1
375,Albertslund,Syddjurs,331089.5,13056.7
376,Albertslund,Sønderborg,338124.8,13475.5
377,Albertslund,Thisted,384509.8,15713
378,Albertslund,Tårnby,11642.1,1050.7
379,Albertslund,Tønder,298210,12356.5
380,Albertslund,Vallensbæk,7133.2,529.9
381,Albertslund,Varde,296497.5,12388.4
382,Albertslund,Vejen,248058.7,10066.2
383,Albertslund,Vejle,233856.2,9838.6
384,Albertslund,Vesthimmerland,388492.5,15538.3
385,Albertslund,Viborg,323442.6,14030
386,Albertslund,Vordingborg,110048.5,4952.3
387,Albertslund,Ærø,172194.7,10951.6
388,Allerød,Aabenraa,312179,12492.5
389,Allerød,Aalborg,433533.9,16959.1
390,Allerød,Aarhus,330431.2,13227.2
391,Allerød,Albertslund,37264.3,1898.2
392,Allerød,Allerød,0,0
393,Allerød,Assens,212982.2,9261.8
394,Allerød,Ballerup,30018,1591.4
395,Allerød,Billund,288998.4,12207.2
396,Allerød,Bornholm,228607.7,12566.7
397,Allerød,Brønderslev,479235.8,18739.3
398,Allerød,Dragør,59469.1,3042.9
399,Allerød,Egedal,31947.8,1819.9
400,Allerød,Esbjerg,290745.6,11811.6
401,Allerød,Faaborg-Midtfyn,213467.7,9351.8
402,Allerød,Fanø,331549.3,13987.3
403,Allerød,Favrskov,327821.9,13350.1
404,Allerød,Faxe,84253.5,3817.1
405,Allerød,Fredensborg,9993,759
406,Allerød,Fredericia,240709.6,9810
407,Allerød,Frederiksberg,37283.1,2112.9
408,Allerød,Frederikshavn,517808.1,20255.6
409,Allerød,Frederikssund,20638.6,1396.2
410,Allerød,Furesø,23887.2,1374.1
411,Allerød,Gentofte,33721.7,2027.5
412,Allerød,Gladsaxe,29695.2,1741.8
413,Allerød,Glostrup,37264.3,1898.2
414,Allerød,Greve,56497.4,2794.7
415,Allerød,Gribskov,20751.1,1263.9
416,Allerød,Guldborgsund,162250.7,6641.8
417,Allerød,Haderslev,287077.1,11637.4
418,Allerød,Halsnæs,32608.6,2212.2
419,Allerød,Hedensted,261477.4,10658
420,Allerød,Helsingør,9993,759
421,Allerød,Herlev,33561.3,1918.1
422,Allerød,Herning,353670.6,13969.9
423,Allerød,Hillerød,16774.4,1125.6
424,Allerød,Hjørring,492895.6,19111
425,Allerød,Holbæk,81567.2,4714.9
426,Allerød,Holstebro,378483.3,14891.7
427,Allerød,Horsens,288669,11712.9
428,Allerød,Hvidovre,41447.6,2244.4
429,Allerød,Høje-Taastrup,44121.4,2424.1
430,Allerød,Hørsholm,17933.2,1407.9
431,Allerød,Ikast-Brande,333820.9,13168.9
432,Allerød,Ishøj,49845.9,2613
433,Allerød,Jammerbugt,464368.6,19160.9
434,Allerød,Kalundborg,98532.4,5744.1
435,Allerød,Kerteminde,181910.2,7547.3
436,Allerød,Kolding,272436.8,11080.2
437,Allerød,København,38052.9,2136.5
438,Allerød,Køge,65790.7,3126.7
439,Allerød,Langeland,220301.2,9932.2
440,Allerød,Lejre,55790.7,3453
441,Allerød,Lemvig,426373.6,17725.9
442,Allerød,Lolland,174179.9,7290.4
443,Allerød,Lyngby-Taarbæk,22169.4,1716.9
444,Allerød,Læsø,518819,20495.4
445,Allerød,Mariagerfjord,359509.6,14519
446,Allerød,Middelfart,217017.6,8950.8
447,Allerød,Morsø,417653.7,17764.6
448,Allerød,Norddjurs,374097.3,14936.9
449,Allerød,Nordfyn,229693,9792.6
450,Allerød,Nyborg,169770.6,7310.5
451,Allerød,Næstved,116436.2,5041.7
452,Allerød,Odder,328430.2,13453.3
453,Allerød,Odense,181910.2,7547.3
454,Allerød,Odsherred,80078.9,4624.1
455,Allerød,Randers,377243.9,15243.7
456,Allerød,Rebild,391272.5,16115.9
457,Allerød,Ringkøbing-Skjern,367041.8,15026.4
458,Allerød,Ringsted,61222.9,3830.3
459,Allerød,Roskilde,67833.7,3638.9
460,Allerød,Rudersdal,17622.6,1207.1
461,Allerød,Rødovre,36912.4,1972.2
462,Allerød,Samsø,347893.1,17557.4
463,Allerød,Silkeborg,343637.8,14410.6
464,Allerød,Skanderborg,330941.1,13094.2
465,Allerød,Skive,403515.2,16418
466,Allerød,Slagelse,138706.3,6074.8
467,Allerød,Solrød,59964.1,2899.6
468,Allerød,Sorø,82721.8,5103.5
469,Allerød,Stevns,81198.5,3719.2
470,Allerød,Struer,367873.1,14702.3
471,Allerød,Svendborg,181394.1,8030.2
472,Allerød,Syddjurs,367370.3,14722.8
473,Allerød,Sønderborg,374405.7,15141.6
474,Allerød,Thisted,420790.6,17379.1
475,Allerød,Tårnby,38052.9,2136.5
476,Allerød,Tønder,334490.8,14022.6
477,Allerød,Vallensbæk,43560.5,2238.7
478,Allerød,Varde,332778.3,14054.5
479,Allerød,Vejen,284339.6,11732.3
480,Allerød,Vejle,270137.1,11504.7
481,Allerød,Vesthimmerland,424773.4,17204.4
482,Allerød,Viborg,359723.5,15696.1
483,Allerød,Vordingborg,146329.4,6618.4
484,Allerød,Ærø,208475.6,12617.7
485,Assens,Aabenraa,129030.8,6040.7
486,Assens,Aalborg,250385.7,10507.3
487,Assens,Aarhus,147283,6775.4
