,orig,dest,distance,duration
3955,Ringkøbing-Skjern,Jammerbugt,160670.8,9719.1
3956,Ringkøbing-Skjern,Kalundborg,283120.5,12408
3957,Ringkøbing-Skjern,Kerteminde,192673.5,8124.4
3958,Ringkøbing-Skjern,Kolding,150753.4,6485.8
3959,Ringkøbing-Skjern,København,339672.9,14021.5
3960,Ringkøbing-Skjern,Køge,302160.9,12274.4
3961,Ringkøbing-Skjern,Langeland,236488.4,10034.6
3962,Ringkøbing-Skjern,Lejre,290787.3,12354.6
3963,Ringkøbing-Skjern,Lemvig,75604.5,4680.9
3964,Ringkøbing-Skjern,Lolland,360263.6,15971.8
3965,Ringkøbing-Skjern,Lyngby-Taarbæk,351955.5,14379.9
3966,Ringkøbing-Skjern,Læsø,233812.5,12009.9
3967,Ringkøbing-Skjern,Mariagerfjord,149313.8,6833.5
3968,Ringkøbing-Skjern,Middelfart,156280.3,6750.6
3969,Ringkøbing-Skjern,Morsø,97016.4,5943.6
3970,Ringkøbing-Skjern,Norddjurs,163901.5,7251.4
3971,Ringkøbing-Skjern,Nordfyn,164135.4,7596.1
3972,Ringkøbing-Skjern,Nyborg,215370.8,9065.5
3973,Ringkøbing-Skjern,Næstved,297731.2,13232.3
3974,Ringkøbing-Skjern,Odder,133791.6,6284.9
3975,Ringkøbing-Skjern,Odense,192673.5,8124.4
3976,Ringkøbing-Skjern,Odsherred,295552.5,12993.6
3977,Ringkøbing-Skjern,Randers,167048.1,7558.2
3978,Ringkøbing-Skjern,Rebild,137272.3,8384.2
3979,Ringkøbing-Skjern,Ringkøbing-Skjern,0.0,0
3980,Ringkøbing-Skjern,Ringsted,285417.5,12073.9
3981,Ringkøbing-Skjern,Roskilde,302646.0,12469
3982,Ringkøbing-Skjern,Rudersdal,359097.0,14566.9
3983,Ringkøbing-Skjern,Rødovre,334153.1,13530.1
3984,Ringkøbing-Skjern,Samsø,166395.1,11123.7
3985,Ringkøbing-Skjern,Silkeborg,101185.4,5226.8
3986,Ringkøbing-Skjern,Skanderborg,117982.1,5371.1
3987,Ringkøbing-Skjern,Skive,67445.0,4123.9
3988,Ringkøbing-Skjern,Slagelse,249044.3,10795.9
3989,Ringkøbing-Skjern,Solrød,311552.1,12524.9
3990,Ringkøbing-Skjern,Sorø,273840.1,11540.6
3991,Ringkøbing-Skjern,Stevns,302578.7,12484.9
3992,Ringkøbing-Skjern,Struer,29872.3,1926.2
3993,Ringkøbing-Skjern,Svendborg,221773.1,9524.3
3994,Ringkøbing-Skjern,Syddjurs,157174.5,7037.3
3995,Ringkøbing-Skjern,Sønderborg,252722.3,10547.2
3996,Ringkøbing-Skjern,Thisted,80745.9,4974.5
3997,Ringkøbing-Skjern,Tårnby,339672.9,14021.5
3998,Ringkøbing-Skjern,Tønder,134583.5,7944.4
3999,Ringkøbing-Skjern,Vallensbæk,325484.7,13097.8
4000,Ringkøbing-Skjern,Varde,44674.4,2752.2
4001,Ringkøbing-Skjern,Vejen,77084.3,4798.6
4002,Ringkøbing-Skjern,Vejle,95116.8,4864.2
4003,Ringkøbing-Skjern,Vesthimmerland,114005.4,6840.7
4004,Ringkøbing-Skjern,Viborg,79005.3,4877.7
4005,Ringkøbing-Skjern,Vordingborg,332413.0,15299.8
4006,Ringkøbing-Skjern,Ærø,236213.0,12846.4
4007,Ringsted,Aabenraa,230894.8,9558.3
4008,Ringsted,Aalborg,352249.7,14024.9
4009,Ringsted,Aarhus,249147.0,10293
4010,Ringsted,Albertslund,50283.2,2563.2
4011,Ringsted,Allerød,61503.6,3831.8
4012,Ringsted,Assens,131698.0,6327.6
4013,Ringsted,Ballerup,55973.5,2710.8
4014,Ringsted,Billund,207714.2,9273
4015,Ringsted,Bornholm,241293.1,13048.2
4016,Ringsted,Brønderslev,397951.7,15805.1
4017,Ringsted,Dragør,72154.5,3524.4
4018,Ringsted,Egedal,53294.2,2549.3
4019,Ringsted,Esbjerg,209461.4,8877.4
4020,Ringsted,Faaborg-Midtfyn,132183.5,6417.6
4021,Ringsted,Fanø,250265.1,11053.1
4022,Ringsted,Favrskov,246537.7,10415.9
4023,Ringsted,Faxe,54531.5,2729.3
4024,Ringsted,Fredensborg,90552.5,4305.7
4025,Ringsted,Fredericia,159425.4,6875.8
4026,Ringsted,Frederiksberg,61616.1,3149.1
4027,Ringsted,Frederikshavn,436523.9,17321.4
4028,Ringsted,Frederikssund,40784.7,2666.2
4029,Ringsted,Furesø,58929.0,2980.5
4030,Ringsted,Gentofte,71481.1,3469.8
4031,Ringsted,Gladsaxe,64578.8,3102.1
4032,Ringsted,Glostrup,50283.2,2563.2
4033,Ringsted,Greve,40114.2,2253.3
4034,Ringsted,Gribskov,77610.4,4609.1
4035,Ringsted,Guldborgsund,132528.7,5554
4036,Ringsted,Haderslev,205792.9,8703.2
4037,Ringsted,Halsnæs,55236.9,4254.4
4038,Ringsted,Hedensted,180193.2,7723.8
4039,Ringsted,Helsingør,90552.5,4305.7
4040,Ringsted,Herlev,53902.9,2581
4041,Ringsted,Herning,272386.4,11035.7
4042,Ringsted,Hillerød,53507.2,3334.8
4043,Ringsted,Hjørring,411611.4,16176.8
4044,Ringsted,Holbæk,41015.4,2316.9
4045,Ringsted,Holstebro,297199.1,11957.5
4046,Ringsted,Horsens,207384.8,8778.7
4047,Ringsted,Hvidovre,56068.6,2698.8
4048,Ringsted,Høje-Taastrup,44615.0,2234.5
4049,Ringsted,Hørsholm,83851.3,3916.6
4050,Ringsted,Ikast-Brande,252536.8,10234.7
4051,Ringsted,Ishøj,36434.4,1857.7
4052,Ringsted,Jammerbugt,383084.4,16226.7
4053,Ringsted,Kalundborg,55116.7,3255.9
4054,Ringsted,Kerteminde,100626.0,4613.1
4055,Ringsted,Kolding,191152.6,8146
